The first thing that strikes you is that the car belongs to Marie. Then you see the paramedics working over a body. Panic begins to overwhelm you as you race to the ambulance.	你第一眼注意到的是，那輛車是 Marie 的。接著你看見救護人員正在搶救一具身體。你在奔向救護車的同時，恐慌開始淹沒了你。
You jump in the ambulance and respond code three to the hospital.	你跳上救護車，鳴笛全速趕往醫院。
Marie is rushed to Lytton General Emergency where doctors begin the race to save her life.	Marie 被緊急送往 Lytton 綜合醫院急診室，醫生們立刻展開搶救。
They work through the night, fighting to stabilize Marie's condition. Sonny spends hours of agony in the waiting room. Although they manage to save her life, Marie remains in a coma.	他們徹夜搶救，設法穩住 Marie 的狀況。Sonny 在候診室裡煎熬了好幾個鐘頭。雖然保住了她的性命，Marie 卻陷入昏迷。
When he's finally allowed to see her, Sonny holds her hand until the pre-dawn hours, hoping and searching for some sign that she'll come back to him.	終於獲准進去探視後，Sonny 一直握著她的手直到破曉前，盼望能看見她甦醒的徵兆。
Physically and emotionally exhausted, you decide to go home and get some rest.	身心俱疲的你，決定回家休息一下。
Looks like another one bit the dust, eh?	看來又掛了一個，是吧？
I understand you were here before they removed the victim. Did you catch any dying words? Notice any signs of sexual assault? Anything at all?	我聽說被害人被抬走之前你就在場。她有沒有留下遺言？有沒有性侵的跡象？隨便什麼線索都好？
Responding to your silence, the reporter says...	面對你的沉默，這名記者接著說……
Well, if YOU don't want to talk to me, I'll just get the information elsewhere!	好啊，你不肯跟我說，那我自己去別的地方打聽！
Listen, you little blood sucking piece of FILTH! The victim was my wife! You guys are all the same. Now get outta here before I forget that I'm wearing this badge!	聽好了，你這個吸血的人渣！被害人是我老婆！你們這種人都一個樣。趁我還記得自己戴著這面警徽，滾出去！
I'll give your paper some details alright!... All about how I rearranged your face!	我這就給你的報社一些細節……講講我是怎麼把你的臉重新排列的！
Oh, Geez! Look Officer I- I'm terribly sorry!	天啊！聽著，警官，我……我真的很抱歉！
I'm just trying to get the facts. I thought you cops liked that kind of loose talk - helps keep things from getting too serious, know what I mean?	我只是想弄清楚事實。我還以為你們警察喜歡那種嘴上開開玩笑，讓場面不要太沉重，你懂我的意思吧？
Here's my card. If there is anything I can ever help you with, Officer, give me a ring, huh? Again, sorry about your wife.	這是我的名片。以後有什麼需要幫忙的，警官，打給我，好嗎？還有，你太太的事，我很遺憾。
You feel a moment of remorse for your outburst, and almost say 'thanks', but fortunately the moment passes.	你為自己剛才的失控感到一絲愧疚，差點就脫口說出「謝謝」，幸好那股衝動很快就過去了。
The officer is intent on his search and ignores you.	那名警員專注在搜查上，沒理會你。
Your batteries appear to be dead.	你的電池似乎沒電了。
You catch the glint of an object lying just beneath Marie's car.	你瞥見 Marie 的車底下有個東西閃著光。
