You can't pull your gun here, Bonds.	You can't pull your gun here, Bonds.
Going off duty?	Going off duty?
You want to start over?	You want to start over?
You can't save right now.	You can't save right now.
You can't restore right now.	You can't restore right now.
You have %s	You have %s
You put the batteries in the flashlight.	You put the batteries in the flashlight.
You shudder again as you\nlook at the photograph\nof Jessie and Michael Bains.	You shudder again as you\nlook at the photograph\nof Jessie and Michael Bains.
Inside the the envelope you find:\n  A cult ring.\n  A cult book.\n  Marie's locket.\nYou remove these and discard the envelope.	Inside the the envelope you find:\n  A cult ring.\n  A cult book.\n  Marie's locket.\nYou remove these and discard the envelope.
You have $2.50	You have $2.50
You have $5.00	You have $5.00
You have $7.50	You have $7.50
You have $10.00	You have $10.00
You're flat broke!	You're flat broke!
This is Juan Ruiz's license - #434301.	This is Juan Ruiz's license - #434301.
This is Orpheus' license - #522341.	This is Orpheus' license - #522341.
This is the drunk' ID card.	This is the drunk' ID card.
This is Brian Forbes's license - #789612.	This is Brian Forbes's license - #789612.
This is Andrew Dent's license - 980453.	This is Andrew Dent's license - 980453.
You log Andrew Dent's license information in your notebook.	You log Andrew Dent's license information in your notebook.
You already have the information in your notebook.	You already have the information in your notebook.
%d of %d	%d of %d
Hello. I'm Jim Walls, retired California Highway Patrol Officer and designer of the Police Quest series.	Hello. I'm Jim Walls, retired California Highway Patrol Officer and designer of the Police Quest series.
With Police Quest, you're not just watching some movie star portraying the glamourous part of police work. As Detective Sonny Bonds, YOU'RE the man behind the badge.	With Police Quest, you're not just watching some movie star portraying the glamourous part of police work. As Detective Sonny Bonds, YOU'RE the man behind the badge.
It's up to you to learn and follow correct police procedure - to make the right decisions in life and death situations.	It's up to you to learn and follow correct police procedure - to make the right decisions in life and death situations.
In REAL police work, you have to know when to be a hero and when to rely on caution and use the other team players on the force.	In REAL police work, you have to know when to be a hero and when to rely on caution and use the other team players on the force.
Some of the incidents in Police Quest 3 are based on actual events that occurred during the course of my career. I managed to survive them. Let's see if YOU can do as well under pressure.	Some of the incidents in Police Quest 3 are based on actual events that occurred during the course of my career. I managed to survive them. Let's see if YOU can do as well under pressure.
Here's the scene you're about to be walking into...	Here's the scene you're about to be walking into...
Lytton, once a quiet and peaceful little town, has been growing like a weed. There's new industry, good jobs, and a decent standard of living.	Lytton, once a quiet and peaceful little town, has been growing like a weed. There's new industry, good jobs, and a decent standard of living.
Unfortunately, progress is not without its side effects. Poverty and crime are going up about as fast as the new cultural center.	Unfortunately, progress is not without its side effects. Poverty and crime are going up about as fast as the new cultural center.
Homicide Detective Sonny Bonds and his wife Marie are still on a 'honeymoon high' from their wedding a few years back.	Homicide Detective Sonny Bonds and his wife Marie are still on a 'honeymoon high' from their wedding a few years back.
Marie's got a good job at Oak Tree Mall and the two have a beautiful new home.	Marie's got a good job at Oak Tree Mall and the two have a beautiful new home.
As for Sonny, he was promoted to Detective Sergeant with the Lytton Police Department.	As for Sonny, he was promoted to Detective Sergeant with the Lytton Police Department.
As the story opens, Sonny's just finished his Sergeant's training and is back on duty.	As the story opens, Sonny's just finished his Sergeant's training and is back on duty.
Overburdened as the department is, he's been assigned to Traffic Division for a bit. Seems Traffic's always understaffed.	Overburdened as the department is, he's been assigned to Traffic Division for a bit. Seems Traffic's always understaffed.
Well, that's Sonny's life - and it's a good one, worth protecting. And now it's time for you to assume the role of Detective Sonny Bonds. I happen to know you're in for a heck of a day.	Well, that's Sonny's life - and it's a good one, worth protecting. And now it's time for you to assume the role of Detective Sonny Bonds. I happen to know you're in for a heck of a day.
Come on. This way.	Come on. This way.
Wait for me, Sonny.	Wait for me, Sonny.
I'll catch up with you. Got to run to my car.	I'll catch up with you. Got to run to my car.
This is not the appropiate place to search a suspect.	This is not the appropiate place to search a suspect.
These doors are sensor activated.	These doors are sensor activated.
The door is locked. I guess the Evidence Officer must be out to lunch.	The door is locked. I guess the Evidence Officer must be out to lunch.
You really should do something with the prisoner first.	You really should do something with the prisoner first.
You need to put the field equipment back into the trunk first.	You need to put the field equipment back into the trunk first.
Your gun is in that locker.	Your gun is in that locker.
A locker door.	A locker door.
It is locked.	It is locked.
You open the locker.	You open the locker.
You close the locker.	You close the locker.
You take your gun.	You take your gun.
You unlock the locker.	You unlock the locker.
You put your gun in the locker, lock the door, and take the key.	You put your gun in the locker, lock the door, and take the key.
Why don't open it first?	Why don't open it first?
It's too long to fit in the gun locker.	It's too long to fit in the gun locker.
There's no regulation against carrying that into the jail.	There's no regulation against carrying that into the jail.
That locker is already taken.	That locker is already taken.
Your key doesn't open that locker.	Your key doesn't open that locker.
Why don't you open it first?	Why don't you open it first?
You need to put your equipment back in the trunk.	You need to put your equipment back in the trunk.
Now where do you think you are going???	Now where do you think you are going???
You're trying to be inconspicuous. Leave the marked car for uniformed officers.	You're trying to be inconspicuous. Leave the marked car for uniformed officers.
Don't you think you should checkin at Homicide first?	Don't you think you should checkin at Homicide first?
The unmarked car is reserved for officers in plain clothes.	The unmarked car is reserved for officers in plain clothes.
You need one of those funny-looking keys.	You need one of those funny-looking keys.
Sooo... what are we booking this fine upstanding citizen on anyway?	Sooo... what are we booking this fine upstanding citizen on anyway?
Quit clowning around Bonds. Give me a real code.	Quit clowning around Bonds. Give me a real code.
You sure about that Bonds? Better dust off that Officer's Manual and bone up on your codes.	You sure about that Bonds? Better dust off that Officer's Manual and bone up on your codes.
You got any ID on this guy Sonny?	You got any ID on this guy Sonny?
Yea, here you go.	Yea, here you go.
Any personal effects?	Any personal effects?
One knife, concealed weapon.	One knife, concealed weapon.
I'm returning your cuffs here through the drop box. Don't forget 'em!	I'm returning your cuffs here through the drop box. Don't forget 'em!
Say, Bonds. Officer Morales is requesting a supervisor for a refusal to sign.	Say, Bonds. Officer Morales is requesting a supervisor for a refusal to sign.
She's waiting out on the freeway near the 7th Avenue on ramp.	She's waiting out on the freeway near the 7th Avenue on ramp.
You find a knife concealed in the man's briefs. Good work!	You find a knife concealed in the man's briefs. Good work!
You remove your cuffs from the drunk.	You remove your cuffs from the drunk.
You'd better have him dump out his pockets first.	You'd better have him dump out his pockets first.
Sir, please step over here and empty your pockets into this drawer.	Sir, please step over here and empty your pockets into this drawer.
Thanks, Sonny. Hope the rest of your patrol is less exciting.	Thanks, Sonny. Hope the rest of your patrol is less exciting.
Step over here, Sir. Now!	Step over here, Sir. Now!
I want you to blow as hard as you can into this tube.	I want you to blow as hard as you can into this tube.
