In/Out basket.	文件盒。
a Computer.	一台電腦。
Your computer occupies the center of your desk. In this business, the computer is an indispensible tool.	你的電腦佔據辦公桌的中央。在這行業，電腦是不可或缺的工具。
sergeant's room	警佐辦公室
This is the Sergeant's office.	這是警佐辦公室。
Your desk is neat and orderly - probably because you don't spend a lot of time here.	你的桌子整潔有序——可能是因為你不常在這裡。
your phone	你的電話
Your phone sits silently on your desk.	你的電話靜靜地放在辦公桌上。
Lt's desk	中尉的桌子
That desk belongs to the Lieutenant.	那張桌子是中尉的。
That's the Lieutenant's stuff.	那是中尉的東西。
garbage can	垃圾桶
It's a garbage can.	那是一個垃圾桶。
The bulletin board in here has information so old, there's a missing person bulletin about Jimmy Hoffa.	這裡的布告欄資訊老得不行，上面還貼著尋人啟事，找的是 Jimmy Hoffa。
filing cabinets	檔案櫃
Those are file drawers.	那些是檔案抽屜。
Ah, some of the fine art displayed here at the Lytton County Police Department!	啊，在 Lytton County Police Department 展示的一些精美藝術作品！
Pat Morales	Pat Morales
It's your good ole, well-worn chair.	那是你親愛的、穿舊了的舊椅子。
That chair's for your visitors.	那張椅子是給訪客坐的。
That chair belongs to the Lieutenant.	那張椅子是中尉的。
The bookcase contains law reference materials.	書架裡擺著法律參考資料。
It's a computer.	那是一台電腦。
That's the power switch.	那是電源開關。
That's the computer monitor.	那是電腦螢幕。
That's the computer access card slot.	那是電腦刷卡槽。
The door leads back into the hallway.	門通回走廊。
A phone.	一台電話。
Your partner, Pat Morales, is an attractive, but tough-looking woman.	你的搭檔 Pat Morales，是個有魅力但看起來硬朗的女性。
The captain's chair.	警監的椅子。
Captain Tate runs the Homicide division for L.P.D.	Captain Tate 掌管 L.P.D. 的命案組。
The homicide room.	命案組辦公室。
A guest chair.	訪客椅。
Captain Tate's desk is well organized - as usual.	Captain Tate 的桌子井井有條——一如既往。
The window looks out into the hallway.	窗戶望向走廊。
The graph on the wall charts homicides for the past three years. Like inflation, the crime-rate rises steadily.	牆上的圖表顯示過去三年的命案數。就像通膨一樣，犯罪率穩定上升。
The bookcase has old paperbacks and phone books in it. Nothing interests you.	書架裡擺著舊的平裝本和電話簿。沒什麼引起你的興趣。
The file cabinet belongs to the captain. He always keeps it locked.	那個檔案櫃是警監的。他總是上鎖的。
OIC Head	主值班官
Kevin Miller	Kevin Miller
That's Officer Kevin Miller. He's one of the old-school cops.	那是警員 Kevin Miller。他是那種老派警察。
Carl Law	Carl Law
That's Officer Carl Law. Carl's a real cut-up.	那是警員 Carl Law。Carl 很愛開玩笑。
Joseph Banks	Joseph Banks
That's Officer Joseph Banks. Young, smart, and takes his job very seriously.	那是警員 Joseph Banks。年輕、聰明，對工作認真得很。
The clipboard contains the notes for today's briefing.	那個夾板上是今天簡報的筆記。
The female officer is Pat Morales. You hear she's a tough cookie.	那個女警是 Pat Morales。你聽說她是個硬漢子。
The chairs are for the officers attending the briefing.	那些椅子是給參加簡報的警員坐的。
The door leads back to the hall.	門通回走廊。
Soothing, isn't it?	舒服吧？
The chalkboard has nothing important on it at this time.	此時黑板上沒什麼重要的東西。
The podium is used for giving briefings.	講台是用來舉辦簡報的。
The message board is where the daily briefing notes are posted after the briefing.	訊息板是每天簡報後貼簡報筆記的地方。
The tables are for the officers attending the briefing.	那些桌子是給參加簡報的警員用的。
This is the briefing room. The junior officers meet here for news, reminders, and the occasional reprimands.	這是簡報室。下級警員在這裡聚集接收消息、提醒和偶爾的斥責。
Dr. Aimes is one of those intellectual types. Not a bad guy, but a little patronizing.	Dr. Aimes 是那種書呆子類型。不是個壞人，不過有點居高臨下。
It's one of those mindless excutive toys.	那是某種無聊的高管玩具。
It's one of those mindless executive toys.	那是某種無聊的高管玩具。
Dr. Aimes' chair is made of soft Corinthian leather.	Dr. Aimes 的椅子是用軟的科林斯皮革做的。
That's Doctor Aimes' desk. There's a file on the desk.	那是 Doctor Aimes 的桌子。桌上有個檔案夾。
