What an awful smelly place to die.	真是個充滿惡臭的死亡之地。
the sign	招牌
the neon sign.	霓虹燈招牌。
the insects	昆蟲
The light attracts the bugs.	燈光吸引蟲子。
the bar door	酒吧的門
This place looks pretty rugged.  Better be on your toes.	這地方看起來很粗暴。得小心點。
the tire marks	輪胎痕跡
You can still smell the rubber left in those tire marks.	你還能聞到輪胎痕跡裡留下的橡膠味。
the garage door	車庫的門
This part of town has numerous parking garages and small lots.	城鎮的這一帶有許多停車場和小停車位。
The windows are tinted.  You can't see inside from here.	窗戶是深色的。你看不到裡面。
the alley	小巷
An alley runs alongside the Old Nugget.	一條小巷在舊金塊旁邊。
Billboards are not uncommon in this part of town.  They make streets even uglier than they already are.	廣告牌在城鎮這一帶很常見。它們讓街道看起來比原本還要難看。
the Nugget	舊金塊
This is the infamous Old Nugget saloon.	這就是那間臭名昭著的舊金塊沙龍。
Based on Paul Bunyan's mug there, I'd say it's a safe bet that they serve beer here.	從那邊的 Paul Bunyan 人像來看，我敢說這裡有供應啤酒。
The sign says 'Old Nugget'. It's neon glow attracts insects (including those of the human variety).	招牌上寫著『舊金塊』。霓虹燈的光芒吸引昆蟲（包括人類那種）。
the man	那個男人
the bartender	酒保
The bartender is a tough-looking woman. She's sporting a " Peterbilt" T-shirt and a "don't mess with me" grimace. She looks as though she's perfectly capable of keeping her customers in line.	酒保是個看起來很兇悍的女人。她穿著「Peterbilt」T恤和滿臉冷漠。她看起來完全有能力控制她的客人。
the pool player	玩撞球的人
the cue ball	母球
the man at the bar	在吧台的男人
Just a skinny lil' guy minding his own business.	只是個瘦小的傢伙，專心處理自己的事。
This guy looks like he sprouted out of that bar stool. Must be a regular here.	這傢伙看起來像是從那張吧椅冒出來的。一定是這裡的常客。
the suspect	嫌犯
Hmm... sure matches the description.	嗯…確實符合描述。
the T.V.	電視
Hmm.. might be an interesting program if it would stop flipping like that.	嗯…要是它不會一直亂翻就可能是個有趣的節目。
the pool balls	撞球
"Whoa! Nice set of balls!"	「哇！一套好球！」
the pool cue	撞球桿
It is a pool cue.	那是撞球桿。
the pool table	撞球桌
There's a pool table at one end of the bar room - a staple of American neighborhood juice joints.	吧廳一端有張撞球桌——美式鄰里酒館的標配。
The lamp over the pool table gives off a sickly glare.	撞球桌上方的燈發出蒼白的光。
the liquor	酒
The bartender's arsenal of poisons is neatly arranged behind her.	酒保的『毒液寶庫』在她身後井然有序地排著。
the bar	吧台
The bar's worn and waxed wooden surface has obviously seen a lot of action.	吧台磨損且打過蠟的木質表面顯然經歷過許多事情。
the tables	桌子
Empty tables and chairs sit silently about, waiting for a crowd to arrive.	空蕩蕩的桌椅無聲地坐著，等待人群到來。
the pool cues	撞球桿
Those cues look pretty beat up, probably get a sliver from it.	那些球桿看起來很破爛，可能會扎到木刺。
Looks like someone used the screen for a spitting contest target.	看起來有人把螢幕當成吐口水比賽的目標。
the barstools	吧椅
The barstool's leather tops have been worn smooth by countless rear ends.	吧椅的皮質座面被無數屁股磨得光滑。
the candles	蠟燭
Seventies-style glass candle-holders attempt to soften the atmosphere.	七０年代風格的玻璃燭台試圖柔和氛圍。
the ashtrays	菸灰缸
As in most bars, ashtrays are everywhere. You try to ignore their contents.	如大多數酒吧一樣，菸灰缸到處都是。你試著忽視它們的內容物。
There's a fire hydrant on the sidewalk.	人行道上有個消防栓。
The tree looks lonely amid all that brick and concrete.	樹在磚塊和混凝土中看起來很孤獨。
The sign reads "Coroner".	招牌上寫著「法醫」。
This building houses the County Coroner's office.	這棟建築裡有郡法醫辦公室。
Like all county buildings,The sidewalks are kept clean and tidy.	如同所有郡建築一樣，人行道保持乾淨整潔。
Drawer	抽屜
Deedee Suffermuch	Deedee Suffermuch
