She's waiting out on the freeway near the 7th Avenue on ramp.	她在高速公路7號出口附近等著。
You find a knife concealed in the man's briefs. Good work!	你在那男子的內褲裡發現一把刀。做得好！
You remove your cuffs from the drunk.	你從醉漢身上摘下手銬。
You'd better have him dump out his pockets first.	你最好先叫他把口袋倒空。
Sir, please step over here and empty your pockets into this drawer.	先生，請走這邊來，把口袋裡的東西倒進這個抽屜。
Thanks, Sonny. Hope the rest of your patrol is less exciting.	謝謝，Sonny。希望你剩下的巡邏勤務沒那麼驚險。
Step over here, Sir. Now!	先生，這邊走。立刻！
I want you to blow as hard as you can into this tube.	我要你盡力對著這個管子吹。
According to this, your blood alcohol level is .15. That is well over the legal limit. I'll have to book you.	根據這個，你的血中酒精濃度是 .15。這已經大大超過法定上限。我得登錄你。
Hellooo!... Earth to Sonny! You gonna give me this guy's belongings or what?	喂！...Sonny，醒一醒！你到底要不要把這傢伙的東西交給我？
Well?..	怎樣？..
Bonds! You know better than to bring a prisoner in here without checking your gun first. That'll cost you a $2.50 fine.	Bonds！你應該知道帶犯人進來前要先交槍。這要罰你2.50元。
Put it here in the drop and you can get it back after you finished with the prisoner.	放在這個投置口裡，你處理完犯人後就可以拿回來。
You walk over, deposit your gun and grudgingly pay the $2.50 fine.	你走過去，放下槍，勉強付了2.50元的罰款。
You mean to tell me you fished that outta this guy's shorts? You've got some guts, Bonds.	你是說你從這傢伙的短褲裡掏出那東西？你膽子真大，Bonds。
Hey Sonny, you want to book this guy?	嘿，Sonny，你要登錄這傢伙嗎？
Let's get this prisoner booked, Bonds.	我們把這個犯人登錄了吧，Bonds。
Finish up and hand him over, Bonds.	處理完了就把他交過來，Bonds。
I'm about ready for a break, Bonds. Let's hurry up and get this guy behind bars so I can eat my sandwich.	Bonds，我快要休息了。我們快點把這傢伙關起來，這樣我好吃我的三明治。
I said I just got a message that you're to assist an officer on the freeway, Bonds. ASAP.	我說我剛收到一條訊息，要你立刻去高速公路協助一名警員，Bonds。
You gonna go get me some bodies to lock up, or what?	你是去替我抓幾個人關起來，還是怎樣？
Go catch some criminals, Bonds. I'm getting lonely in here.	去抓些犯人吧，Bonds。我在這裡都快寂寞了。
The booking officer can't help you unless you give him something to work with.	登錄官沒有東西就幫不了你。
Officer Bonds! It's extremely tacky to point your gun at a fellow officer, even in jest!	Bonds 警員！就算是開玩笑，用槍指著同事也很不得體！
He already knows who you are! Geez!	他已經知道你是誰了！天哪！
Ah, tell it to your mother.	哈，去跟你媽說吧。
I bet you like the strip search best of all.	我打賭你最喜歡的是全身搜身。
I hear a night stick is a cop's best friend.	我聽說警棍是警察最好的朋友。
Just get on with it unless you want a puddle.	要不你會尿出一灘來，所以快去做吧。
You're so close to handing him over to the jailer.   Surely you can hold your temper for another few minutes.	你距離把他交給獄卒只差一點了。你肯定可以再忍幾分鐘。
You've already searched him - and you didn't enjoy it much the first time.	你已經搜過他了，而且第一次搜的時候你也沒那麼喜歡。
How dry I am. How wet I'll be. If I don't find a place to p.....	我現在多乾。我待會有多濕。如果我找不到地方去 p.....
You're so close to handing him over to the jailer. Surely you can hold your temper for another few minutes.	你距離把他交給獄卒只差一點了。你肯定可以再忍幾分鐘。
You've already removed his cuffs.	你已經解下他的手銬了。
You take your gun, embarrassed that you didn't check it outside.	你拿起槍，為自己沒有在外面就檢查而感到尷尬。
What do you wish to put in the drop?	你要在投置口裡放什麼？
You'll have to take the cuffs off first.	你得先解下手銬。
You don't have anything to put in the drop.	你沒有東西可以放在投置口裡。
You put the suspect's knife into the drawer.	你把嫌犯的刀放進抽屜。
You put the suspect's license into the drawer.	你把嫌犯的證件放進抽屜。
Only prisoners are allowed through that door.	只有犯人可以通過那扇門。
One test is enough.	一次檢測就夠了。
You need to remove his cuffs first.	你得先解下他的手銬。
There's no reason to test this guy. His problems run deeper than alcohol!	沒必要測這傢伙。他的問題不只是酒精！
There's no one to test.	沒有人可以測。
You need to turn the machine on first.	你得先開機。
You turn on the Gas Chromatograph.	你打開了氣相色譜儀。
There's nothing except cleaning supplies and paper in the cabinets, none of which you need.	櫃子裡只有清潔用品和紙，你都不需要。
You don't need to use the pay phone.	你不需要用投幣電話。
You don't need any paper towels at the moment.	你現在不需要紙巾。
What case number, Sonny?	案號是什麼，Sonny？
Name?	名字？
Unknown source.	來源不詳。
Samuel Britt.	Samuel Britt。
Clifford Jones.	Clifford Jones。
Marie Bonds.	Marie Bonds。
Andrew Dent.	Andrew Dent。
John Doe.	John Doe。
Description of evidence?	證物的敘述？
Broken neck chain.	斷裂的項鍊。
